Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,12:15,School,Projectwerk,Uitlegsessie bachelorproef,,Lijnen 2-6 dienen als voorbeeld. Gelieve deze te wissen in je eigen logboek!
09/02/16,19:30,21:30,Thuis,Documentatie,Documentatie doorploegen,,Oplijsten prioriteite en opzoekingen rond REST service op asp.net
11/02/16,13:30,17:45,School,Projectwerk,Bespreking structuur project,,Opstellen use-case en ontwerp klassen en algemene structuur deelstukken project
11/02/16,20:00,21:30,Thuis,Rapportering,Invullen logboek en opstellen git,,
13/02/16,14:00,17:00,Thuis,Test,Uittesten java ee,,Dependency injection via java een ejb kan tot plug en play structuur leiden
14/02/16,15:00,19:00,Thuis,Test,Verdere uitwerking java ee,,
16/02/16,08:30,12:15,School,Projectwerk,Aanmaken project en overleg structuur,,en bezoek klant
18/02/16,10:30,11:00,School,Presentatie,presentaties jobinfo,,
18/02/16,12:45,17:00,School,Projectwerk,Lessen pollefliet en jobbeurs en definieren interfaces,12,
19/02/16,19:30,21:30,Thuis,Implementatie,Creatie factory voor ophalen beans,9,
