Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,12:15,School,Projectwerk,Uitlegsessie bachelorproef,,
09/02/16,19:30,21:30,Thuis,Documentatie,Documentatie doorploegen,,Oplijsten prioriteiten. Opzoekingen rond REST service op asp.net
10/02/16,11:30,12:30,School,Projectwerk,Voorbereiden use case; klassendiagram,,
11/02/16,09:00,12:00,Thuis,Analyse,Aanmaken analyse-document. Behoefteanalyse.,,
11/02/16,13:30,17:45,School,Projectwerk,Bespreking structuur project,,Opstellen use-case; ontwerp klassen; algemene structuur deelstukken project
16/02/16,08:30,12:15,School,Projectwerk,Aanmaken project en overleg structuur,,bezoek klant
18/02/16,10:30,11:00,School,Presentatie,presentaties jobinfo,,
18/02/16,12:45,17:00,School,Projectwerk,Lessen pollefliet en jobbeurs en definieren interfaces,,
19/02/16,10:00,10:30,Thuis,Projectwerk,Corrigeren basis. Toevoegen constructor SourceManager.,,
19/02/16,19:00,20:30,Thuis,Projectwerk,Bespreken uitgevoerde acties van Tobias + verbeteringen vastleggen,,
22/02/16,15:30,17:52,Thuis,Projectwerk,Opzoeken informatie ivm conccurency in JAVA EE. Coderen DataManager. Aanpassen SourceAdapater-interface.,,
23/02/16,08:15,12:30,School,Projectwerk,DAO's + Persistence JPA + samenvoegen project + oplossen problemen git,,
23/02/16,16:30,17:30,Thuis,Projectwerk,DAO's + Persistence JPA,,
