Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,12:30,School,Projectwerk,Uitlegsessie bachelorproef,,
10/02/16,18:00,20:00,Thuis,Documentatie,Documentatie bekijken en API's van de bronnen bekijken,,
11/02/16,13:30,17:45,School,Projectwerk,Bespreking structuur project en opstellen use-case en ontwerp klassen en algemene structuur deelstukken project,,
13/02/16,17:00,18:30,Thuis,Projectwerk,Voorlopig klassendiagram maken,,
16/02/16,08:15,12:30,School,Projectwerk,Aanmaken project en overleg structuur en bezoek klant,,
18/02/16,10:30,11:00,School,Presentatie,presentaties jobinfo,,
18/02/16,12:45,17:45,School,Projectwerk,Lessen pollefliet en jobbeurs en definieren interfaces,,
19/02/16,18:00,18:15,Thuis,Projectwerk,aanmaken logboek,,
20/02/16,17:30,19:00,Thuis,Projectwerk,documentatie Google Maps API en call doornemen,5,
21/02/16,14:00,16:30,Thuis,Projectwerk,aanmaken en testen basic GoogleMapsAdapter,5,
22/02/16,18:30,19:30,Thuis,Projectwerk,GoogleMapsAdapter finaliseren,5,
23/02/16,08:15,12:30,School,Projectwerk,Project bespreken en problemen oplossen,,
24/02/16,16:00,19:30,Thuis,Projectwerk,buildprobleem op pc zoeken en andere versie van netbeans downloaden,,
25/02/16,13:30,15:00,School,Les,Lessen Pollefliet,,
25/02/16,15:00,18:00,School,Projectwerk,Opstellen mail en toevoegen van excepties aan adapters,,
25/02/16,20:00,22:00,Thuis,Projectwerk,zoeken en oplossen probleem met entities,,
26/02/16,10:30,12:00,Thuis,Projectwerk,aanpassing ivm geolocatie in GoogleMapsAdadpter,36,
27/02/16,13:30,15:30,Thuis,Projectwerk,herwerken adapter (van list nr set),36,
27/02/16,15:30,18:00,Thuis,Projectwerk,instellingen en probleem glassfish,,
27/02/16,23:30,23:59,Thuis,Projectwerk,geolocaties routes opzoeken,,
28/02/16,00:00,03:00,Thuis,Projectwerk,geolocaties routes opzoeken,,
28/02/16,19:00,20:30,Thuis,Projectwerk,bugfix GoogleMapsAdapter,37,
01/03/16,08:15,12:30,School,Projectwerk,test geolocations en bespreking problemen,,
02/03/16,18:00,21:00,Thuis,Documentatie,opzoeken en uitschrijven info dataproviders,43,
03/03/16,13:30,16:00,School,Les,Lessen Pollefliet,,
03/03/16,16:00,18:00,School,Documentatie,opzoeken prijzen en mail nr Google,,
04/03/16,17:00,17:30,Thuis,Documentatie,nalezen apiary,,
05/03/16,17:30,18:30,Thuis,Documentatie,ideeen presentatie en werken aan verslag,,
06/03/16,10:00,10:30,Thuis,Documentatie,grondig nalezen verslag,,
06/03/16,15:30,19:00,Thuis,Documentatie,nalezen en herwerken verslag en logboek,,
07/03/16,16:30,19:00,Thuis,Documentatie,nalezen en herwerken verslag en ppt en readme en wiki,,
08/03/16,08:15,12:30,School,Presentatie,presentatie sprint 1 en sprint review meeting en analyse sprint 2,,
09/03/16,13:30,15:00,Thuis,Projectwerk,aantal call GoogleMapsAdapter reduceren,55,
10/03/16,10:00,11:00,Thuis,Projectwerk,Documentatie TomTom doornemen,,
10/03/16,13:30,18:00,School,Projectwerk,Analyse sprint2 en mockups maken,,
11/03/16,17:00,21:00,Thuis,Projectwerk,Documentatie goeie JSON en REST,,
12/03/16,10:00,11:00,Thuis,Projectwerk,URL's opstellen,,
12/03/16,12:00,14:00,School,Projectwerk,Opendeurdag,,
12/03/16,18:00,21:00,Thuis,Projectwerk,structuur Rest en begin presentatie Pollefliet,,
13/03/16,12:30,16:00,Thuis,Projectwerk,presentatie voorbereiden,,
